127.0.0.1 - - [05/Sep/2026 22:11:51] "HEAD /checkout.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:12:24] "GET /checkout.html?buyNowId=p1&name=Test+Product&price=500&qty=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:12:24] "GET /assets/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:12:24] "GET /assets/js/firebase-config.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:12:24] "GET /assets/js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:12:24] "GET /assets/js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:12:24] "GET /assets/js/locations.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:12:24] "GET /assets/js/cart-checkout.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:12:24] "GET /assets/js/products.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:12:24] "GET /assets/js/admin.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:12:25] "GET /assets/images/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:13:17] "GET /checkout.html?buyNowId=p1&name=Test+Product&price=500&qty=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:13:17] "GET /assets/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:13:17] "GET /assets/js/cart-checkout.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:13:17] "GET /assets/js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:13:17] "GET /assets/js/locations.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:13:17] "GET /assets/js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:13:17] "GET /assets/js/firebase-config.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:13:17] "GET /assets/js/admin.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:13:17] "GET /assets/js/products.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 22:13:18] "GET /assets/images/logo.png HTTP/1.1" 200 -
